GeoFIPS,GeoName,Region,Description,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
" ""00000""",United States, , Gross domestic product (GDP) ,10250952.0,10581929.0,10929108.0,11456450.0,12217196.0,13039197.0,13815583.0,14474228.0,14769862.0,14478067.0,15048971.0,15599732.0,16253970.0,16880683.0,17608138.0,18295019.0,18804913.0,19612102.0,20656516.0,21539982.0,21354105.0,23681171.0,26006893.0,27720709.0
" ""01000""",Alabama,5, Gross domestic product (GDP) ,120522.6,123534.5,128380.9,135212.6,148379.1,158677.3,166048.2,172247.0,174665.6,170876.5,177510.7,182896.7,188280.7,193981.5,197064.4,203113.3,208824.3,216615.5,226263.8,234798.2,235325.3,260018.4,284949.1,304935.6
" ""02000""",Alaska,8, Gross domestic product (GDP) ,26934.0,28660.9,29884.5,32115.8,35389.5,40459.9,44951.7,49456.4,55246.7,50165.9,53654.0,56912.3,58320.7,57533.0,56587.4,51574.2,51121.8,53550.9,54762.0,54549.6,51283.4,58943.5,66271.9,68056.0
" ""04000""",Arizona,6, Gross domestic product (GDP) ,165735.6,172899.6,180844.5,194318.0,207246.3,227997.8,246061.1,261152.8,261005.8,244862.2,250527.0,261691.4,272703.3,278679.5,286676.0,298942.2,313787.1,333099.0,353671.0,375376.7,388956.7,436778.6,484052.2,522767.2
" ""05000""",Arkansas,5, Gross domestic product (GDP) ,69176.3,71099.6,74453.1,79009.7,85928.6,91133.4,96073.7,98325.0,100206.7,97783.9,101699.3,105697.6,108836.0,114021.1,117388.7,118573.6,120987.4,123882.6,129213.8,132625.8,136198.4,154052.5,168605.8,178606.4
" ""06000""",California,8, Gross domestic product (GDP) ,1354791.3,1373270.8,1419321.8,1498578.0,1585081.4,1698858.4,1812161.6,1900220.4,1946241.5,1879809.5,1938603.3,2014050.3,2108873.1,2223300.9,2342218.8,2487156.4,2586485.2,2740550.3,2899530.9,3068629.7,3076755.1,3423958.3,3660415.7,3870378.9
" ""08000""",Colorado,7, Gross domestic product (GDP) ,179303.3,185848.9,189604.6,195137.6,203743.3,220803.8,232853.6,248571.6,257606.1,249817.1,256771.8,266114.1,274738.8,291265.3,309223.9,320895.9,330565.9,350209.1,373923.1,397843.6,396741.9,445835.7,494672.8,529626.5
" ""09000""",Connecticut,1, Gross domestic product (GDP) ,165523.4,171124.4,172929.7,177814.8,194722.9,204504.6,219812.2,232626.8,236110.7,231628.0,234022.2,233058.7,239907.5,240549.2,247114.7,260648.5,264760.4,273875.1,280535.4,286451.9,278029.4,296801.3,321686.4,345911.9
" ""10000""",Delaware,2, Gross domestic product (GDP) ,43559.6,46373.8,45865.4,47839.6,51674.1,52048.6,55567.7,56705.6,55250.8,57729.9,58132.2,61379.4,62342.1,62058.2,68606.0,72352.5,70021.5,69555.6,73376.0,78710.5,77520.3,83069.8,92558.2,98068.7
" ""11000""",District of Columbia,2, Gross domestic product (GDP) ,61267.7,65620.0,70078.0,74047.0,80600.7,85414.5,88350.9,94013.8,99240.4,100430.1,106128.6,109953.9,112512.7,114832.7,119998.0,124753.6,129933.5,134298.8,141240.2,145071.4,146660.1,156537.5,165768.4,176501.7
" ""12000""",Florida,5, Gross domestic product (GDP) ,490094.4,519140.7,553359.9,590284.8,647041.8,704890.3,749925.0,781947.3,767357.8,739322.4,752998.4,761043.1,784545.9,819679.8,860112.6,918464.3,964500.8,1014866.9,1072085.6,1133718.0,1142004.4,1298631.2,1465281.1,1600810.6
" ""13000""",Georgia,5, Gross domestic product (GDP) ,305323.7,316872.7,326017.9,339540.5,364530.1,388707.2,405664.2,419384.8,416303.5,409876.2,419013.1,433137.1,449375.6,467559.5,493370.3,525516.8,554903.2,583543.3,612803.4,646695.8,640223.6,705546.7,779684.0,831827.7
" ""15000""",Hawaii,8, Gross domestic product (GDP) ,41089.4,42500.2,44949.5,48420.7,52625.7,57211.8,60848.0,64106.0,65545.5,64464.3,66739.3,68801.1,71645.6,74598.5,77043.0,81410.2,84287.2,87436.4,90933.5,93240.2,84885.8,93400.4,103153.1,110265.4
" ""16000""",Idaho,7, Gross domestic product (GDP) ,38344.1,37740.9,38990.7,40778.6,44732.9,48805.1,51099.0,53712.4,56203.6,54507.9,56086.2,57418.2,57933.7,61712.6,64501.7,66064.9,69185.2,72935.1,79072.4,84429.4,88099.3,99839.1,112290.1,120958.3
" ""17000""",Illinois,3, Gross domestic product (GDP) ,486089.7,499618.4,511485.9,528577.0,560079.8,589153.7,624068.1,649307.4,649677.3,645843.2,663929.0,691805.5,725478.0,742890.9,772291.7,802592.0,813561.6,832826.8,871024.2,895601.8,860672.8,946776.2,1040353.3,1098346.1
" ""18000""",Indiana,3, Gross domestic product (GDP) ,204147.3,205325.1,213419.6,225349.3,239278.5,247428.3,259030.3,273340.8,277774.5,264925.0,284685.8,292373.8,301277.4,313466.9,329360.9,333163.8,342716.6,357535.8,377376.9,384838.7,378633.6,425863.8,473492.9,499503.1
" ""19000""",Iowa,4, Gross domestic product (GDP) ,93125.6,94922.6,98669.4,105329.7,117149.8,122866.1,127670.8,137590.2,137749.2,137094.3,142497.7,149026.1,158553.1,162415.0,173734.2,181471.7,183834.8,187125.0,193155.1,196262.5,198609.6,223870.9,242752.9,254032.0
