GeoFIPS,GeoName,Region,Description,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
" ""00000""",United States, ,Personal income (millions of dollars) ,8620234.0,8990104.0,9146700.0,9474684.0,10008929.0,10540800.0,11291446.0,11925044.0,12423410.0,12058253.0,12547501.0,13299818.0,13905749.0,14063283.0,14778160.0,15467113.0,15884741.0,16658962.0,17514402.0,18349584.0,19600945.0,21403979.0,22077232.0,23380269.0
" ""01000""",Alabama,5,Personal income (millions of dollars) ,108002.9,111894.1,115007.7,120241.0,128606.3,136087.5,144719.0,151942.6,157780.3,155666.9,162068.8,167882.2,172101.5,173720.7,179487.1,187474.7,190871.8,197963.8,205674.2,215151.8,230732.2,254960.4,262235.6,276925.6
" ""02000""",Alaska *,8,Personal income (millions of dollars) ,20092.2,21287.1,22331.5,23372.1,24429.2,26019.6,27696.2,29761.3,32860.7,32995.4,35374.3,37870.6,38997.1,38565.1,40642.1,41918.6,41285.5,41919.4,43522.7,44459.7,45339.6,48183.7,50606.8,52520.0
" ""04000""",Arizona,6,Personal income (millions of dollars) ,135573.8,142097.8,147455.2,156408.8,170443.0,187724.9,207762.6,219579.1,223495.1,212283.6,216223.6,227203.3,236431.4,242030.3,253711.6,267474.1,279696.7,297261.5,315459.0,337257.2,374007.2,414355.4,434338.9,464774.9
" ""05000""",Arkansas,5,Personal income (millions of dollars) ,60886.2,64168.6,65698.8,69656.4,74308.7,77990.4,82891.6,88410.7,92435.6,90992.3,94127.0,100449.5,107007.4,107209.3,113171.5,116632.4,119758.8,123825.4,128970.8,131394.8,141985.7,160036.7,168534.8,176809.1
" ""06000""",California,8,Personal income (millions of dollars) ,1127550.1,1169366.4,1187280.9,1240604.2,1315172.2,1387883.8,1493217.0,1561307.2,1588294.5,1539818.7,1609997.5,1713428.0,1814763.0,1840885.3,1955718.0,2097049.6,2191138.0,2295048.7,2411055.1,2539747.4,2769103.0,3009556.6,3003826.1,3166135.4
" ""08000""",Colorado,7,Personal income (millions of dollars) ,146560.8,154066.7,154492.3,157405.3,163568.5,174247.8,188197.0,200611.2,210065.8,200170.0,206053.4,223873.9,236033.0,247816.7,268453.1,279696.0,283678.7,303366.7,328112.7,351476.0,374262.2,416727.1,447854.4,470605.9
" ""09000""",Connecticut,1,Personal income (millions of dollars) ,146216.9,154585.9,154452.8,156438.6,164657.4,173328.8,187213.1,201450.4,214658.2,212233.8,219801.3,226305.8,229133.1,223834.3,233084.0,239184.9,243698.7,249451.1,260582.2,267564.2,274862.0,294632.1,306717.6,325345.8
" ""10000""",Delaware,2,Personal income (millions of dollars) ,26586.9,29374.8,30360.3,31071.8,32271.3,33073.3,35003.1,36211.4,36462.9,36610.7,36980.8,39760.6,40122.6,40677.8,42422.9,44626.3,45928.4,48077.1,51150.4,52774.4,55049.0,59920.7,65208.2,68981.6
" ""11000""",District of Columbia,2,Personal income (millions of dollars) ,24827.6,25742.9,25863.4,26138.6,28379.7,29880.4,31606.5,34095.7,35167.5,35540.0,38212.4,41361.1,42582.3,43213.8,46124.0,49741.7,52190.6,54158.7,56395.7,57511.2,60846.4,65428.9,67776.1,72525.3
" ""12000""",Florida,5,Personal income (millions of dollars) ,471588.1,497335.4,514288.8,540366.3,587003.0,637602.8,690506.1,719734.2,725995.0,685982.8,730690.1,769798.4,794071.1,794604.1,848535.3,905450.5,938985.6,1011002.2,1078010.6,1145938.8,1220782.7,1358786.3,1436107.2,1553426.4
" ""13000""",Georgia,5,Personal income (millions of dollars) ,236616.8,248742.5,255977.2,265622.8,280462.4,297084.9,316548.8,331363.7,335257.5,329158.9,337420.5,360456.2,369040.2,374124.6,398585.7,423242.0,441039.1,467592.5,491088.0,516504.2,552316.3,605211.5,625219.3,660447.5
" ""15000""",Hawaii *,8,Personal income (millions of dollars) ,35403.1,36996.8,38865.6,40734.2,43729.2,46898.1,50182.6,53022.5,55802.6,55409.0,56649.4,59226.4,61161.6,61983.4,65182.2,68200.8,70744.8,73646.4,75266.4,78586.9,82714.1,88342.4,90053.9,94970.8
" ""16000""",Idaho,7,Personal income (millions of dollars) ,32667.0,34059.4,35213.9,36454.9,39386.7,41724.7,45887.7,48853.5,50157.4,48498.8,50201.9,53076.5,55719.8,57790.6,60897.0,64564.3,67294.1,71472.6,76529.6,82967.7,91743.2,105544.5,110794.4,116675.3
" ""17000""",Illinois,3,Personal income (millions of dollars) ,411220.9,427182.4,432381.6,440480.1,457834.3,475646.2,506021.6,535102.6,551159.7,525793.9,540880.9,568230.3,593814.2,605681.6,629465.0,657080.2,664686.8,685632.7,722686.6,741904.7,787687.6,846013.0,862729.1,906647.6
" ""18000""",Indiana,3,Personal income (millions of dollars) ,171032.1,175229.8,177918.8,182458.0,191088.3,196999.0,208373.7,215919.9,226602.3,220908.7,231025.6,245731.2,256284.7,259534.8,269159.1,279385.7,287275.2,297990.5,313127.2,326391.4,351310.8,390237.0,402919.5,420259.7
" ""19000""",Iowa,4,Personal income (millions of dollars) ,80082.6,82519.7,84518.2,86330.6,93377.9,96080.0,101998.6,109069.0,116112.8,112963.4,116535.7,125499.8,131137.0,133435.1,137733.5,142521.2,143839.9,147911.5,154686.0,158156.3,167920.2,186141.8,197021.3,201332.8
" ""20000""",Kansas,4,Personal income (millions of dollars) ,75870.8,78490.8,79285.4,81768.2,84076.9,88784.0,97838.9,105082.6,115298.3,111558.9,113843.0,123198.9,129849.7,132519.0,134773.9,136189.1,136753.6,141311.8,147407.4,153011.9,161892.4,173399.5,183033.7,194413.5
" ""21000""",Kentucky,5,Personal income (millions of dollars) ,100475.1,103997.8,106551.9,109765.9,116214.1,121734.5,128584.1,134209.9,140837.7,138999.7,144335.6,151379.9,156564.9,157905.4,164862.1,172269.4,175275.6,180836.1,186931.1,195518.9,212125.4,233354.7,237781.3,250569.1
